race year,age group,gender,city,latitude,longitude,name
2002,20-30,female,Steffisburg,46.7788438,7.6347831999999975,1
2002,20-30,female,Strasbourg,48.5734053,7.752111299999997,1
2002,20-30,female,Thierrens,46.7040793,6.7538420000000015,1
2002,20-30,female,Tschugg,47.02592620000001,7.0782281000000005,1
2002,20-30,female,Saint-Jean-d'Aulps,46.234581,6.6556539999999975,1
2002,20-30,female,Liebefeld,46.933331,7.416668,1
2002,20-30,female,Milvignes,46.966871399999995,6.8589727,1
2002,20-30,female,Chamoson,46.2016649,7.225993700000001,1
2002,20-30,female,Burgdorf,45.277122999999996,-115.9129022,1
2002,20-30,female,Bussigny-près-Lausanne,46.5517429,6.558615,1
2002,20-30,female,Bülach,47.5160671,8.5419603,1
2002,20-30,female,Caluire-et-Cuire,45.79681,4.8424260000000015,1
2002,20-30,female,Carouge,46.1829674,6.1378539000000005,1
2002,20-30,female,Carrouge,46.6043933,6.7748157,1
2002,20-30,female,Cham,49.223864299999995,12.6620845,1
2002,20-30,female,Cheseaux-Noréaz,46.78200579999999,6.6719386,1
2002,20-30,female,Correvon,46.71547,6.7376299999999985,1
2002,20-30,female,Cheseaux-sur-Lausanne,46.585452000000004,6.6047712,1
2002,20-30,female,Chexbres,46.481691999999995,6.778807799999999,1
2002,20-30,female,Clarens,-28.514357300000004,28.4104684,1
2002,20-30,female,Colchester,51.895927,0.8918740000000001,1
2002,20-30,female,Collombey,46.2710282,6.9459482999999995,1
2002,20-30,female,Collombey-Muraz,46.31156,6.927759999999999,1
2002,20-30,female,Corcelles-le-Jorat,46.6064999,6.7422888999999975,1
2002,20-30,female,Buchs,47.458485100000004,8.441022199999999,1
2002,20-30,female,Buchillon,46.4693789,6.4200054,1
2002,20-30,female,Bretigny-sur-Morrens,46.5980923,6.6412460000000015,1
2002,20-30,female,Biberist,47.1818339,7.5577799,1
2002,20-30,female,Aeugst am Albis,47.26774870000001,8.4852115,1
2002,20-30,female,Allschwil,47.5528925,7.5433615000000005,1
