race year,age group,gender,category,city,canton,country,latitude,longitude
2002,30-40,female,42,Renens,VD,CH,46.533809999999995,6.5913699999999995
2002,30-40,female,42,Clermont-Ferrand,Auvergne-Rhône-Alpes,FR,45.77722199999999,3.087025
2002,30-40,female,42,Grindelwald,BE,CH,46.624164,8.0413962
2002,30-40,female,42,Charmey,FR,CH,46.9489963,7.1578548
2002,30-40,female,42,Pforzheim,BW,DE,48.89218620000001,8.6946286
2002,30-40,female,42,Sainte-Croix,VD,CH,46.8217968,6.5022221999999985
2002,30-40,female,42,Nunningen,SO,CH,47.39345549999999,7.6194690000000005
2002,30-40,male,10,Riddes,VS,CH,46.173143700000004,7.2225148999999975
2002,30-40,male,10,Cham,BY,DE,49.223864299999995,12.6620845
2002,30-40,male,10,Onex,GE,CH,46.183541,6.1002345
2002,30-40,male,10,Ollon,VD,CH,46.30084,7.0428400999999985
2002,30-40,male,10,Auckland,Auckland,NZ,-36.8484597,174.7633315
2002,30-40,male,10,Crissier,VD,CH,46.55186870000001,6.5743458
2002,30-40,male,10,Villars-sur-Glâne,FR,CH,46.7931801,7.1237822
2002,30-40,male,10,Delémont,JU,CH,47.365837,7.3451555000000015
2002,30-40,male,10,Les Fins,Bourgogne-Franche-Comté,FR,47.078625,6.6286189
2002,30-40,male,10,Vulliens,VD,CH,46.622324,6.792134400000001
2002,30-40,male,21,Gouarec,Brittany,FR,48.226166,-3.179338
2002,30-40,male,21,Burgdorf,ID,US,45.277122999999996,-115.9129022
2002,30-40,male,21,Brugg,AG,CH,47.48673549999999,8.2109103
2002,30-40,male,21,San Diego,CA,US,32.966537699999996,-117.072992
2002,30-40,male,21,Bourg-en-Lavaux,VD,CH,46.5030476,6.7215735999999975
2002,30-40,male,21,Fribourg,FR,CH,46.8064773,7.1619718999999975
2002,30-40,male,21,Lausanne,VD,CH,46.5196535,6.6322734
2002,30-40,male,21,Zofingen,AG,CH,47.288844899999994,7.9447619000000005
2002,30-40,male,21,Bulle,FR,CH,46.6154512,7.0577267999999975
