POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
401-00310,-,0,Red,SS,N,N,SFMTA,ON,0,31,ELLIS ST,5169000,Area 5,Downtown,"(37.7855083988, -122.4072527007)"
614-02260,-,0,Yellow,SS,N,N,SFMTA,ON,0,226,POST ST,10627000,Area 5,Downtown,"(37.7886236002, -122.4061944016)"
666-04300,-,0,Red,SS,N,N,SFMTA,ON,0,430,SUTTER ST,12322000,Area 5,Downtown,"(37.7893586987, -122.4080280994)"
666-04390,-,0,Red,SS,N,N,SFMTA,ON,0,439,SUTTER ST,12322000,Area 5,Downtown,"(37.7892017000, -122.4082897992)"
336-03290,-,0,Yellow,SS,N,N,SFMTA,ON,0,329,BUSH ST,3425000,Area 5,Downtown,"(37.7908039008, -122.4032412001)"
661-01720,-,0,Grey,SS,N,N,SFMTA,ON,0,172,STEVENSON ST,12167000,Area 5,Downtown,"(37.7872412008, -122.4028295984)"
440-00230,-,0,Red,SS,N,N,SFMTA,ON,0,23,GEARY ST,6107000,Area 5,Downtown,"(37.7877992009, -122.4043516011)"
444-00300,-,0,Red,SS,N,N,SFMTA,ON,0,30,GRANT AVE,6381000,Area 5,Downtown,"(37.7875820984, -122.4049389993)"
444-02510,444-02007,51,Yellow,MS,Y,N,SFMTA,ON,0,251,GRANT AVE,6385000,Area 5,Downtown,"(37.7892900006, -122.4054066983)"
593-06360,-,0,Grey,SS,N,N,SFMTA,ON,0,636,OFARRELL ST,9732000,Area 3,,"(37.7854822976, -122.4158818980)"
571-00210,-,0,Yellow,SS,N,N,SFMTA,ON,0,21,MONTGOMERY ST,9297000,Area 5,Downtown,"(37.7896870010, -122.4021860973)"
520-01033,520-01030,3,Red,MS,N,N,SFMTA,ON,0,105,KEARNY ST,7749000,Area 5,Downtown,"(37.7891603996, -122.4037885998)"
562-03260,-,0,Red,SS,N,N,SFMTA,ON,0,326,MASON ST,8803000,Area 1,,"(37.7868928992, -122.4097547994)"
336-07200,-,0,Grey,SS,N,N,SFMTA,ON,0,720,BUSH ST,3437000,Area 1,,"(37.7901396015, -122.4094600973)"
593-00340,-,0,Red,SS,N,N,SFMTA,ON,0,34,OFARRELL ST,9721000,Area 5,Downtown,"(37.7867149011, -122.4061578007)"
593-01020,-,0,Red,SS,N,N,SFMTA,ON,0,102,OFARRELL ST,9722000,Area 5,Downtown,"(37.7866668002, -122.4065403004)"
681-04210,-,0,Red,SS,N,N,SFMTA,ON,0,421,TAYLOR ST,12430000,Area 1,,"(37.7866390002, -122.4115389993)"
593-00280,-,0,Yellow,SS,N,N,SFMTA,ON,0,28,OFARRELL ST,9721000,Area 5,Downtown,"(37.7867437013, -122.4059305002)"
593-01440,-,0,Yellow,SS,N,N,SFMTA,ON,0,144,OFARRELL ST,9722000,Area 5,Downtown,"(37.7865178985, -122.4077170973)"
562-00030,-,0,Grey,SS,N,N,SFMTA,ON,0,3,MASON ST,8799000,Area 1,,"(37.7835983978, -122.4092261025)"
568-06410,-,0,Grey,SS,Y,N,SFMTA,ON,0,641,MISSION ST,9093000,Area 5,Downtown,"(37.7872737002, -122.4005909988)"
614-03020,-,0,Yellow,SS,N,N,SFMTA,ON,0,302,POST ST,10628000,Area 5,Downtown,"(37.7885339976, -122.4069185981)"
614-03160,-,0,Red,SS,N,N,SFMTA,ON,0,316,POST ST,10628000,Area 5,Downtown,"(37.7884543025, -122.4075476990)"
616-04070,-,0,Grey,SS,N,N,SFMTA,ON,0,407,POWELL ST,10679000,Area 5,Downtown,"(37.7885182005, -122.4085154009)"
546-03020,-,0,Grey,SS,N,N,SFMTA,ON,0,302,LEAVENWORTH ST,8241000,Area 3,,"(37.7838827007, -122.4141916984)"
614-07330,-,0,Grey,SS,N,N,SFMTA,ON,0,733,POST ST,10635000,Area 3,,"(37.7874651988, -122.4143745021)"
401-04230,-,0,Grey,SS,N,N,SFMTA,ON,0,423,ELLIS ST,5174000,Area 3,,"(37.7846805105, -122.4137524313)"
401-05200,-,0,Grey,SS,N,N,SFMTA,ON,0,520,ELLIS ST,5176000,Area 3,,"(37.7846144108, -122.4152619338)"
401-05050,-,0,Grey,SS,N,N,SFMTA,ON,0,505,ELLIS ST,5176000,Area 3,,"(37.7845591025, -122.4147124160)"
546-03170,-,0,Grey,SS,N,N,SFMTA,ON,0,317,LEAVENWORTH ST,8241000,Area 3,,"(37.7843551998, -122.4144428984)"
686-03210,-,0,Grey,SS,N,N,SFMTA,ON,0,321,TURK ST,12719000,Area 2,,"(37.7826259014, -122.4149214995)"
616-04060,-,0,Yellow,SS,N,N,SFMTA,ON,0,406,POWELL ST,10679000,Area 5,Downtown,"(37.7885933024, -122.4084010997)"
616-04210,-,0,Yellow,SS,N,N,SFMTA,ON,0,421,POWELL ST,10679000,Area 5,Downtown,"(37.7888671000, -122.4085873009)"
666-03210,-,0,Red,SS,N,N,SFMTA,ON,0,321,SUTTER ST,12321000,Area 5,Downtown,"(37.7894631986, -122.4062195026)"
442-01400,-,0,Grey,SS,N,N,SFMTA,ON,0,140,GOLDEN GATE AVE,6260000,Area 2,,"(37.7819855017, -122.4134635010)"
442-02070,-,0,Grey,SS,N,N,SFMTA,ON,0,207,GOLDEN GATE AVE,6261000,Area 2,,"(37.7817510989, -122.4142091998)"
